,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
918,전라남도 곡성군 고달면 두가리,,38,0,A02,A0202,A02020700,756323,12,20090623020706,http://tong.visitkorea.or.kr/cms/resource/51/758351_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/758351_image3_1.jpg,Type3,127.3710098002,35.2354392914,6,20240130142636,3,,섬진강변 유원지,57547
919,경기도 안산시 단원구 번영2로 25,성곡반려견 놀이터,31,,A02,A0202,A02020700,3112055,12,20240328194757,,,,126.7375913957,37.3247780279,6,20240423192218,15,031)481-3647,성곡 반려견 놀이터,15410
920,전라남도 영암군 군서면 왕인로 440,,38,0,A02,A0202,A02020200,127625,12,20031103090000,http://tong.visitkorea.or.kr/cms/resource/76/1607976_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1607976_image3_1.jpg,Type3,126.6326202249,34.7554114459,3,20231030153849,17,,성기동국민관광지,58434
921,경기도 성남시 분당구 성남대로 550,,31,0,A02,A0202,A02020700,127372,12,20040218090000,http://tong.visitkorea.or.kr/cms/resource/28/2482828_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2482828_image2_1.jpg,Type3,127.1211633076,37.3802895361,6,20240417173323,12,,성남 중앙공원,13598
922,경기도 고양시 덕양구 어울림로 33,(성사동),31,0,A02,A0202,A02020700,2733850,12,20210813193153,http://tong.visitkorea.or.kr/cms/resource/77/2735177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2735177_image2_1.jpg,Type3,126.8345456923,37.6496475589,6,20230809152642,2,,성라공원,10471
923,서울특별시 성북구 성북동,118-2,1,,A02,A0202,A02020700,3043953,12,20231120133133,http://tong.visitkorea.or.kr/cms/resource/15/3043915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3043915_image3_1.jpg,Type3,126.9978101905,37.5925460141,6,20231120133218,17,,성북역사문화공원,02824
924,제주특별자치도 서귀포시 성산읍 고성리,,39,0,A02,A0202,A02020700,2798131,12,20211215190526,http://tong.visitkorea.or.kr/cms/resource/29/2799529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2799529_image2_1.jpg,Type3,126.9091049559,33.4392126801,6,20240424205909,3,,성산포JC공원,63641
925,제주특별자치도 서귀포시 성산읍 성산등용로 112-7,,39,0,A02,A0202,A02020800,128154,12,20040531090000,,,,126.9337909207,33.4732870934,3,20231120151939,3,,성산포유람선,63643
926,충청남도 천안시 서북구 성성2길 66,,34,,A02,A0202,A02020700,2824534,12,20220620144201,http://tong.visitkorea.or.kr/cms/resource/11/2824511_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/11/2824511_image3_1.JPG,Type3,127.1308828889,36.8453015278,6,20230316105924,12,,성성호수공원,31079
927,제주특별자치도 서귀포시 표선면 번영로 2650,,39,0,A02,A0202,A02020600,2738766,12,20210901223741,http://tong.visitkorea.or.kr/cms/resource/49/2740849_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2740849_image2_1.jpg,Type3,126.7871331230,33.3985735348,6,20231102113147,3,,성읍랜드,63624
928,경기도 고양시 일산서구 일산로 663,,31,,A02,A0202,A02020700,2872502,12,20221021141840,http://tong.visitkorea.or.kr/cms/resource/95/2872495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2872495_image3_1.jpg,Type3,126.7554047896,37.6819590517,6,20230202112935,2,,성저공원,10370
929,충청남도 천안시 서북구 성정동,1285,34,,A02,A0202,A02020700,3046273,12,20231122142635,http://tong.visitkorea.or.kr/cms/resource/58/3046258_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3046258_image3_1.jpg,Type3,127.1411268757,36.8283647710,6,20231122142658,12,,성정공원,31104
930,경상북도 성주군 성주읍 참별로 2530,,35,,A02,A0202,A02020700,3030522,12,20231102142550,,,,128.2568080287,35.9130561229,6,20231102142622,10,,성주별고을체육공원,40034
931,경기도 부천시 호현로387번길 41,(소사본동),31,0,A02,A0202,A02020700,2736368,12,20210825184407,http://tong.visitkorea.or.kr/cms/resource/97/2736497_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2736497_image2_1.jpg,Type3,126.7899241471,37.4739199750,6,20230125113942,11,,성주산체육공원,14757
932,경상북도 성주군 성주읍 성주로 3167-11,,35,0,A02,A0202,A02020700,2738010,12,20210831220134,http://tong.visitkorea.or.kr/cms/resource/68/2738468_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2738468_image2_1.jpg,Type3,128.2826777266,35.9217000582,6,20230802201411,10,,성주역사테마공원,40025
933,경기도 수원시 영통구 이의동 1213,,31,0,A02,A0202,A02020700,2745732,12,20210916023331,http://tong.visitkorea.or.kr/cms/resource/69/2768269_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2768269_image2_1.jpg,Type3,127.0475025422,37.3095353036,6,20231227101738,13,,성죽공원,16223
