,Unnamed: 0,name,naverURL,contains_review
221,221,귀빈산장펜션,"https://map.naver.com/p/search/%EA%B7%80%EB%B9%88%EC%82%B0%EC%9E%A5%ED%8E%9C%EC%85%98/place/35022177?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
230,230,그래비티 서울 판교 오토그래프 컬렉션,"https://map.naver.com/p/search/%EA%B7%B8%EB%9E%98%EB%B9%84%ED%8B%B0%20%EC%84%9C%EC%9A%B8%20%ED%8C%90%EA%B5%90%20%EC%98%A4%ED%86%A0%EA%B7%B8%EB%9E%98%ED%94%84%20%EC%BB%AC%EB%A0%89%EC%85%98/place/1481216594?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
231,231,그랜드 머큐어 앰배서더 창원(구 풀만 앰배서더 창원),"https://map.naver.com/p/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EB%A8%B8%ED%81%90%EC%96%B4%20%EC%95%B0%EB%B0%B0%EC%84%9C%EB%8D%94%20%EC%B0%BD%EC%9B%90%28%EA%B5%AC%20%ED%92%80%EB%A7%8C%20%EC%95%B0%EB%B0%B0%EC%84%9C%EB%8D%94%20%EC%B0%BD%EC%9B%90%29/place/36798001?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
235,235,그랜드 인투라온 호텔 정선,"https://map.naver.com/p/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%9D%B8%ED%88%AC%EB%9D%BC%EC%98%A8%20%ED%98%B8%ED%85%94%20%EC%A0%95%EC%84%A0/place/1043354704?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
236,236,그랜드 인투라온호텔 정선,"https://map.naver.com/p/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%20%EC%9D%B8%ED%88%AC%EB%9D%BC%EC%98%A8%ED%98%B8%ED%85%94%20%EC%A0%95%EC%84%A0/place/1043354704?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
242,242,그랜드메르호텔제주,"https://map.naver.com/p/search/%EA%B7%B8%EB%9E%9C%EB%93%9C%EB%A9%94%EB%A5%B4%ED%98%B8%ED%85%94%EC%A0%9C%EC%A3%BC/place/37890415?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
249,249,그리네펜션,"https://map.naver.com/p/search/%EA%B7%B8%EB%A6%AC%EB%84%A4%ED%8E%9C%EC%85%98/place/32964293?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
255,255,그린캠프유스호스텔,"https://map.naver.com/p/search/%EA%B7%B8%EB%A6%B0%EC%BA%A0%ED%94%84%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/place/11660000?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
259,259,그린하이츠모텔,"https://map.naver.com/p/search/%EA%B7%B8%EB%A6%B0%ED%95%98%EC%9D%B4%EC%B8%A0%EB%AA%A8%ED%85%94/place/19185106?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
263,263,그림리조트,"https://map.naver.com/p/search/%EA%B7%B8%EB%A6%BC%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/11382378?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
